name,surname,dob
Nicholas,Roman,04/04/1902
Cy,Sirkett,05/10/1945
Sarene,Goligly,22/04/1994
Erminie,Cains,30/07/1925
Marietta,Ronisch,10/02/1921
Gwenni,Okenden,01/12/1958
Nita,Sauvan,24/01/1941
Gris,Labbett,26/09/1905
Carlita,Le land,03/11/1974
Marcelia,Grissett,25/01/1935
Almeta,Dawes,05/04/1917
Bendick,Frodsam,23/09/1949
Hagan,Alen,16/09/1919
Silvie,Avon,19/07/1913
Jeane,Bellanger,28/09/1991
Walden,Tellett,01/12/1994
Gabby,Billyeald,29/03/1998
Terry,Lascelles,04/06/1978
Keefe,Avrahamof,15/05/1943
Pavlov,Dri,08/09/1929
Melvyn,Mackney,25/11/1996
Luciana,Castells,12/04/1928
Langston,Kubecka,04/10/1938
Ellie,Bartoszek,17/02/1972
Filmore,Gaywood,27/07/1926
Minor,Behneke,03/03/1994
Ashly,Halpin,13/10/1908
Blondy,Scarlin,08/12/2018
Eran,Daffey,07/09/1998
Rowen,Broker,26/05/1978
Corabel,Rubinow,11/07/2000
Hagan,Strivens,08/10/1929
Heindrick,Treadway,02/03/1937
Ruby,Roke,15/02/1967
Kathryne,Pellew,08/04/1909
Dannie,Eborall,27/09/1996
Avigdor,Kitcat,14/06/2000
Kippie,Kerwin,10/02/1931
Raychel,MacTrustram,01/05/1936
Arlen,Killcross,03/05/1910
Lydie,Muglestone,12/03/1948
Edi,Acklands,26/06/1971
Wynnie,Matt,07/11/1915
Annissa,Bogace,17/09/1987
Nicol,Wimbush,06/05/1976
Tilly,Faley,25/09/2002
Hermy,Pitway,17/11/1930
Newton,Pibworth,09/05/2015
Georgeanna,Riddoch,01/09/1995
Martita,Quakley,16/03/1926
Penni,Ditter,02/02/1907
Patti,Purcell,21/09/1989
Kittie,Scard,04/10/1935
Ursa,Breslane,23/02/1945
Jedediah,Aberchirder,20/07/1953
Verene,Miguel,24/06/1984
Anabelle,Vasin,31/07/2016
Krissie,Bakhrushkin,09/02/1981
Clement,Lainge,08/12/1968
Fergus,Pendrigh,23/02/1913
Ted,Trainer,03/08/2014
Bobbie,Roback,14/04/1939
Kelly,Threadkell,08/12/2015
Tansy,Oxberry,27/03/2013
Marnia,Headingham,07/12/1900
Harvey,Aherne,16/11/1935
Dun,Orteaux,16/10/1989
Emmeline,Gosnold,31/05/1968
Catlaina,Shields,06/03/1928
Erna,Caron,18/05/1902
Marnia,Lyard,01/08/2008
Chiquita,Itzkov,03/05/1961
Tersina,Widdall,02/03/1959
Diego,Tipler,24/11/2005
Barbara-anne,Lowmass,08/04/2017
Lorri,Ardley,10/02/1957
Windy,Pavese,22/08/1907
Marketa,Grinin,17/02/2017
Teirtza,Challener,29/03/2001
Kermit,Sturte,22/11/1992
Mabel,Lewnden,25/11/1960
Justus,Bradder,15/04/1959
Cirilo,Owers,12/12/1956
Salomo,Beton,11/04/1977
Eamon,Coppledike,05/06/1916
Livia,Broadfoot,15/09/1945
Ynes,Feeney,26/12/2018
Lenard,Aitkenhead,08/10/1958
Shoshana,Earney,02/09/1906
Janaye,Lerigo,02/05/1969
Aridatha,Tritton,17/04/2014
Paulita,Calloway,05/12/1907
Martino,Winckworth,31/10/1953
Whitby,Jaksic,11/09/1918
Fern,Halse,31/07/2017
Nanni,Tidey,23/02/2014
Drusilla,Laister,10/10/2007
Ray,Sighard,14/03/1950
Vivi,Brizland,08/06/1943
Mathe,Spawell,19/03/1955
Wolfie,Dorkins,09/02/2001
Kathrine,Richie,29/07/1914
Moises,Arling,23/07/2016
Darya,Danshin,21/12/1926
Farrah,Iwaszkiewicz,18/06/1959
Laurie,Bollen,09/03/2000
Viviyan,Autin,14/06/1917
Florri,Giroldi,06/03/1961
Foster,Ghelardoni,08/08/1929
Kristien,Dymocke,09/03/1969
Cleon,Shay,07/06/2011
Roosevelt,Tipling,14/01/1976
Ashlen,Chaplin,02/10/1921
Roscoe,Redfearn,05/06/2010
Elwood,McDougle,02/10/2005
Demetri,Quadrio,01/09/1982
Cordula,Roglieri,11/01/1935
Christina,McCormack,17/02/1971
Glenine,Tipping,14/05/1955
Josefina,Mullineux,07/11/1976
Vinnie,Badrock,22/01/2018
Honoria,Sterling,23/09/1976
Audry,Gardener,01/12/1986
Trixie,Ramstead,24/12/1926
Zacharie,Greensides,09/12/1940
Sherye,Jeenes,14/11/2012
Teddy,Scadding,12/08/1975
Grace,Mattaus,13/07/1915
Lurette,Hillen,03/08/1955
Tiffi,McPaike,26/08/1958
Valaria,Clemence,12/01/1906
Robena,Gaines,18/02/2014
Jackie,Brashier,23/09/1981
Claybourne,Boulden,03/10/1935
Shaylyn,Swinney,07/03/1986
Carl,Arkin,06/02/1940
Sal,Reggler,06/12/1975
Darren,Farlow,31/05/1937
Nicolea,Batiste,12/08/2010
Roldan,Ransom,07/09/1929
Michele,Ashe,13/06/1917
Thatch,Gemmill,10/11/1995
Hayes,Ortzen,02/11/1923
Glenn,Bartol,09/06/1920
Appolonia,Ryding,24/09/1915
Crosby,MacGilmartin,09/03/1981
Elyn,Treadgold,16/05/1949
Shina,Ruusa,17/08/1921
Win,Edelheid,04/03/1959
La verne,Wearn,01/11/2004
Zackariah,Boyles,28/10/2001
Abigail,Gumme,07/11/1919
Mason,Goodhay,19/12/1967
Toby,Welfair,30/10/1971
Steward,Sheepy,30/04/1975
Batholomew,Kinder,08/11/1954
Giustina,Croshaw,21/05/1903
Merrily,Waine,14/06/2011
Tiertza,Chiles,14/04/1963
Libbie,Alsina,02/01/1994
Otis,Orhrt,30/11/1946
Dicky,Klassmann,19/04/1971
Worthy,O'Heneghan,06/07/1990
Rod,Ottee,29/06/1990
Kinnie,Fiddyment,17/04/1971
Oralle,Klimp,30/01/1972
Sarina,Grammer,23/08/1974
Cal,Lambdon,17/02/1981
Efrem,Matula,22/12/1937
Masha,Probbings,31/10/1967
Carlyle,Grinvalds,08/07/2005
Delila,Crepel,15/01/1947
Sib,Quest,25/08/1924
Lorne,Swettenham,01/04/1950
Tallie,Martinelli,20/07/2015
Madelena,Jeanet,08/04/1979
Ring,Suthren,28/10/2011
Alfy,Davidove,19/01/2011
Timi,Lyster,21/12/1954
Andrey,Veracruysse,28/11/1941
Austin,Bartolomeoni,16/12/1974
Jamesy,Gregoretti,11/11/1928
Vonnie,Frenzel;,19/04/1978
Amelita,Hurch,04/01/1902
Bibby,Pendered,22/03/1965
Meryl,Dearth,31/08/1942
Kerwin,Cooper,21/04/1983
Bernardina,Creus,07/02/2008
Merwin,Dainton,09/01/1917
Carey,Kleinsmuntz,07/08/1957
